Packet ID,3113
Packet Ground Date Time,03/10/2019 15:17:57
Packet Sat Date Time,30/06/2019 00:16:52
Packet Total Raw Data,1D-47-02-18-00-17-00-00-08-24-07-54-00-17-00-18-00-17-00-18-00-17-00-17-00-FB-00-9E-00-9A-00-3B-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-47,7495,mv
batt_curr,02-18,536,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-24,35.78174,deg c
patrxvu_temp,07-54,51.73326,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-FB,-18948.648,hz
rxrssi,00-9E,-147.26,dbm
txrefl,00-9A,154,mw
txfrow,00-3B,59,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
