Packet ID,3116
Packet Ground Date Time,03/10/2019 15:18:57
Packet Sat Date Time,30/06/2019 00:17:52
Packet Total Raw Data,1E-3E-00-84-00-19-00-00-08-27-07-E3-00-18-00-18-00-18-00-18-00-17-00-17-00-79-00-C2-00-43-00-3F-00-00-00-00-00-00-00-03-00-00-00-00-03-5D-17-FC-88-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-84,132,ma
3v3_curr,00-19,25,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-27,35.55167,deg c
patrxvu_temp,07-E3,40.76659,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-79,-20684.408,hz
rxrssi,00-C2,-146.18,dbm
txrefl,00-43,67,mw
txfrow,00-3F,63,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-03,3,none
last_resets,5D-17-FC-88,30/06/2019 00:04:24,sec
states,70,112,none
