Packet ID,3119
Packet Ground Date Time,03/10/2019 15:25:36
Packet Sat Date Time,30/06/2019 00:19:27
Packet Total Raw Data,1E-48-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-00,0,ma
3v3_curr,00-00,0,ma
5v_curr,00-00,0,ma
lotrxvu_temp,00-00,195.6037,deg c
patrxvu_temp,00-00,195.6037,deg c
eps_temp[0],00-00,0,deg c
eps_temp[1],00-00,0,deg c
eps_temp[2],00-00,0,deg c
eps_temp[3],00-00,0,deg c
batt_temp[0],00-00,0,deg c
batt_temp[1],00-00,0,deg c
rxdoppler,00-00,-22300,hz
rxrssi,00-00,-152,dbm
txrefl,00-00,0,mw
txfrow,00-00,0,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,00,0,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
