Packet ID,3120
Packet Ground Date Time,03/10/2019 15:25:56
Packet Sat Date Time,30/06/2019 00:19:47
Packet Total Raw Data,1E-3E-00-78-00-15-00-00-08-A6-08-A9-00-18-00-18-00-18-00-18-00-17-00-17-00-9F-00-C0-00-41-00-39-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-78,120,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-A6,25.81204,deg c
patrxvu_temp,08-A9,25.58197,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-9F,-20177.032,hz
rxrssi,00-C0,-146.24,dbm
txrefl,00-41,65,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
