Packet ID,3123
Packet Ground Date Time,03/10/2019 15:27:16
Packet Sat Date Time,30/06/2019 00:21:07
Packet Total Raw Data,1E-48-00-78-00-12-00-00-08-AB-08-B1-00-17-00-18-00-18-00-18-00-17-00-17-00-A1-00-C7-00-41-00-38-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-48,7752,mv
batt_curr,00-78,120,ma
3v3_curr,00-12,18,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-AB,25.42859,deg c
patrxvu_temp,08-B1,24.96845,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-A1,-20150.328,hz
rxrssi,00-C7,-146.03,dbm
txrefl,00-41,65,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
