Packet ID,3142
Packet Ground Date Time,03/10/2019 15:34:36
Packet Sat Date Time,30/06/2019 00:28:26
Packet Total Raw Data,1E-35-00-98-00-17-00-00-08-B6-08-BD-00-17-00-18-00-17-00-17-00-17-00-17-00-A9-00-BE-00-40-00-39-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-35,7733,mv
batt_curr,00-98,152,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-B6,24.585,deg c
patrxvu_temp,08-BD,24.04817,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-A9,-20043.512,hz
rxrssi,00-BE,-146.3,dbm
txrefl,00-40,64,mw
txfrow,00-39,57,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
