Packet ID,3189
Packet Ground Date Time,03/10/2019 15:53:55
Packet Sat Date Time,30/06/2019 00:47:45
Packet Total Raw Data,1E-35-00-90-00-15-00-00-08-BD-08-C3-00-17-00-18-00-17-00-17-00-17-00-17-00-97-00-A7-00-40-00-38-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-35,7733,mv
batt_curr,00-90,144,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-BD,24.04817,deg c
patrxvu_temp,08-C3,23.58803,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-97,-20283.848,hz
rxrssi,00-A7,-146.99,dbm
txrefl,00-40,64,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
