Packet ID,3231
Packet Ground Date Time,03/10/2019 16:11:14
Packet Sat Date Time,30/06/2019 01:05:05
Packet Total Raw Data,1E-3E-00-90-00-15-00-00-08-BE-08-C4-00-17-00-18-00-17-00-17-00-16-00-16-00-A8-00-CB-00-41-00-38-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-00-03-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-3E,7742,mv
batt_curr,00-90,144,ma
3v3_curr,00-15,21,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-BE,23.97148,deg c
patrxvu_temp,08-C4,23.51134,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-16,22,deg c
rxdoppler,00-A8,-20056.864,hz
rxrssi,00-CB,-145.91,dbm
txrefl,00-41,65,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-00-03,30/06/2019 00:19:15,sec
states,70,112,none
