Packet ID,3342
Packet Ground Date Time,03/10/2019 16:56:18
Packet Sat Date Time,30/06/2019 00:00:34
Packet Total Raw Data,1E-2C-00-84-00-17-00-00-08-BA-08-BB-00-17-00-18-00-17-00-17-00-16-00-17-00-B6-00-CF-00-40-00-38-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-2C,7724,mv
batt_curr,00-84,132,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-BA,24.27824,deg c
patrxvu_temp,08-BB,24.20155,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-16,22,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-B6,-19869.936,hz
rxrssi,00-CF,-145.79,dbm
txrefl,00-40,64,mw
txfrow,00-38,56,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
