Packet ID,3345
Packet Ground Date Time,03/10/2019 16:59:30
Packet Sat Date Time,30/06/2019 00:03:47
Packet Total Raw Data,1E-35-00-90-00-17-00-00-08-8E-08-8A-00-17-00-18-00-17-00-17-00-17-00-17-00-B7-00-B1-00-41-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-35,7733,mv
batt_curr,00-90,144,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-8E,27.6526,deg c
patrxvu_temp,08-8A,27.95936,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-B7,-19856.584,hz
rxrssi,00-B1,-146.69,dbm
txrefl,00-41,65,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
