Packet ID,3347
Packet Ground Date Time,03/10/2019 17:00:21
Packet Sat Date Time,30/06/2019 00:04:19
Packet Total Raw Data,1E-2C-00-90-00-17-00-00-08-98-08-97-00-17-00-18-00-17-00-17-00-17-00-17-00-A3-00-B2-00-41-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-02-5D-17-FC-62-70

Parameter Name,Raw Data,Value,Unit
vbatt,1E-2C,7724,mv
batt_curr,00-90,144,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-98,26.8857,deg c
patrxvu_temp,08-97,26.96239,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-A3,-20123.624,hz
rxrssi,00-B2,-146.66,dbm
txrefl,00-41,65,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-02,2,none
last_resets,5D-17-FC-62,30/06/2019 00:03:46,sec
states,70,112,none
