Packet ID,3351
Packet Ground Date Time,03/10/2019 17:06:37
Packet Sat Date Time,30/06/2019 00:06:56
Packet Total Raw Data,1D-0F-02-3C-00-17-00-00-08-B0-08-54-00-17-00-18-00-17-00-17-00-17-00-17-00-BA-00-D9-00-D0-00-B3-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-17-FC-A7-F0

Parameter Name,Raw Data,Value,Unit
vbatt,1D-0F,7439,mv
batt_curr,02-3C,572,ma
3v3_curr,00-17,23,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-B0,25.04514,deg c
patrxvu_temp,08-54,32.10062,deg c
eps_temp[0],00-17,23,deg c
eps_temp[1],00-18,24,deg c
eps_temp[2],00-17,23,deg c
eps_temp[3],00-17,23,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-BA,-19816.528,hz
rxrssi,00-D9,-145.49,dbm
txrefl,00-D0,208,mw
txfrow,00-B3,179,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-17-FC-A7,30/06/2019 00:04:55,sec
states,F0,240,none
