Packet ID,3361
Packet Ground Date Time,03/10/2019 17:24:50
Packet Sat Date Time,30/06/2019 00:02:40
Packet Total Raw Data,1D-34-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-03-00-00-00-00-01-FF-FF-FF-FE-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-34,7476,mv
batt_curr,00-00,0,ma
3v3_curr,00-00,0,ma
5v_curr,00-00,0,ma
lotrxvu_temp,00-00,195.6037,deg c
patrxvu_temp,00-00,195.6037,deg c
eps_temp[0],00-00,0,deg c
eps_temp[1],00-00,0,deg c
eps_temp[2],00-00,0,deg c
eps_temp[3],00-00,0,deg c
batt_temp[0],00-00,0,deg c
batt_temp[1],00-00,0,deg c
rxdoppler,00-00,-22300,hz
rxrssi,00-00,-152,dbm
txrefl,00-00,0,mw
txfrow,00-00,0,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-01,1,none
last_resets,FF-FF-FF-FE,07/02/2106 06:28:14,sec
states,70,112,none
