Packet ID,112
Packet Ground Date Time,24/09/2019 17:52:39
Packet Sat Date Time,30/06/2019 02:50:12
Packet Total Raw Data,1C-46-02-3C-00-07-00-00-08-5E-07-A0-00-18-00-19-00-18-00-18-00-18-00-18-00-B3-00-7F-00-E5-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-07-5D-18-22-3D-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-46,7238,mv
batt_curr,02-3C,572,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-5E,31.33372,deg c
patrxvu_temp,07-A0,45.90482,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-B3,-19909.992,hz
rxrssi,00-7F,-148.19,dbm
txrefl,00-E5,229,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-18-22-3D,30/06/2019 02:45:17,sec
states,60,96,none
