Packet ID,122
Packet Ground Date Time,24/09/2019 17:58:12
Packet Sat Date Time,30/06/2019 02:55:45
Packet Total Raw Data,1C-3D-02-6B-00-07-00-00-08-76-08-57-00-18-00-19-00-18-00-19-00-18-00-18-00-FA-00-7B-00-CB-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-07-5D-18-22-3D-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-3D,7229,mv
batt_curr,02-6B,619,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-76,29.49316,deg c
patrxvu_temp,08-57,31.87055,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-FA,-18962,hz
rxrssi,00-7B,-148.31,dbm
txrefl,00-CB,203,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-07,7,none
last_resets,5D-18-22-3D,30/06/2019 02:45:17,sec
states,60,96,none
