Packet ID,2194
Packet Ground Date Time,24/09/2019 16:19:14
Packet Sat Date Time,30/06/2019 01:30:05
Packet Total Raw Data,1C-2A-02-30-00-07-00-00-08-A5-08-3F-00-18-00-19-00-18-00-18-00-17-00-17-00-CC-00-0E-00-E8-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-04-5D-18-06-46-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-2A,7210,mv
batt_curr,02-30,560,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-A5,25.88873,deg c
patrxvu_temp,08-3F,33.71111,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-CC,-19576.192,hz
rxrssi,00-0E,-151.58,dbm
txrefl,00-E8,232,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-06-46,30/06/2019 00:45:58,sec
states,60,96,none
