Packet ID,2196
Packet Ground Date Time,24/09/2019 16:24:19
Packet Sat Date Time,30/06/2019 01:35:10
Packet Total Raw Data,1D-6D-00-90-00-07-00-00-08-91-08-93-00-18-00-19-00-18-00-18-00-17-00-17-00-EB-00-7A-00-41-00-3A-00-00-00-00-00-00-00-03-00-00-00-00-04-5D-18-06-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-6D,7533,mv
batt_curr,00-90,144,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-91,27.42253,deg c
patrxvu_temp,08-93,27.26915,deg c
eps_temp[0],00-18,24,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-18,24,deg c
eps_temp[3],00-18,24,deg c
batt_temp[0],00-17,23,deg c
batt_temp[1],00-17,23,deg c
rxdoppler,00-EB,-19162.28,hz
rxrssi,00-7A,-148.34,dbm
txrefl,00-41,65,mw
txfrow,00-3A,58,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-04,4,none
last_resets,5D-18-06-46,30/06/2019 00:45:58,sec
states,70,112,none
