Packet ID,2221
Packet Ground Date Time,24/09/2019 16:37:31
Packet Sat Date Time,30/06/2019 01:48:06
Packet Total Raw Data,1C-21-02-7F-00-07-00-00-08-7F-08-13-00-19-00-19-00-19-00-19-00-18-00-18-00-F5-00-72-00-09-00-FF-00-00-00-00-00-00-00-02-00-00-00-00-05-5D-18-12-76-60

Parameter Name,Raw Data,Value,Unit
vbatt,1C-21,7201,mv
batt_curr,02-7F,639,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-7F,28.80295,deg c
patrxvu_temp,08-13,37.08547,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-19,25,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-F5,-19028.76,hz
rxrssi,00-72,-148.58,dbm
txrefl,00-09,9,mw
txfrow,00-FF,255,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,02,2,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-05,5,none
last_resets,5D-18-12-76,30/06/2019 01:37:58,sec
states,60,96,none
