Packet ID,2632
Packet Ground Date Time,24/09/2019 16:46:26
Packet Sat Date Time,30/06/2019 01:56:28
Packet Total Raw Data,1D-76-00-84-00-07-00-00-08-1F-07-E8-00-19-00-1A-00-19-00-19-00-18-00-18-00-CD-00-8A-00-42-00-3E-00-00-00-00-00-00-00-03-00-00-00-00-06-5D-18-15-46-70

Parameter Name,Raw Data,Value,Unit
vbatt,1D-76,7542,mv
batt_curr,00-84,132,ma
3v3_curr,00-07,7,ma
5v_curr,00-00,0,ma
lotrxvu_temp,08-1F,36.16519,deg c
patrxvu_temp,07-E8,40.38314,deg c
eps_temp[0],00-19,25,deg c
eps_temp[1],00-1A,26,deg c
eps_temp[2],00-19,25,deg c
eps_temp[3],00-19,25,deg c
batt_temp[0],00-18,24,deg c
batt_temp[1],00-18,24,deg c
rxdoppler,00-CD,-19562.84,hz
rxrssi,00-8A,-147.86,dbm
txrefl,00-42,66,mw
txfrow,00-3E,62,mw
altitudeangelsroll,00-00,0,deg
altitudeangelspich,00-00,0,deg
altitudeangelsyaw,00-00,0,deg
numberofpics,00,0,none
eps battery state,03,3,none
numberdelayd_comms,00,0,none
number_resets,00-00-00-06,6,none
last_resets,5D-18-15-46,30/06/2019 01:49:58,sec
states,70,112,none
